speaker_id,speaker_display,speaker_party,speaker_role,utterances,energy_security_rate,energy_minerals_rate,avg_energy_density,avg_security_density,avg_economic_density,avg_climate_density,avg_minerals_density,avg_securitization_index,speaker_cluster
JudithTielen,Judith Tielen,Unknown,Unknown,19,0.10526315789473684,0.0,22.630005263157894,0.4219684210526316,9.479915789473685,1.7046684210526315,0.0,0.043859649122807015,0
SanderDekker,Sander Dekker,Unknown,Unknown,19,0.10526315789473684,0.0,23.52511052631579,0.5831263157894737,2.885384210526316,0.0,0.0,0.07894736842105263,0
StephanvanBaarle,Stephanvan Baarle,Unknown,Unknown,19,0.05263157894736842,0.0,30.93261052631579,0.17721052631578948,13.420057894736843,0.0,0.0,0.007894736842105263,0
SylvanaSimons,Sylvana Simons,Unknown,Unknown,19,0.21052631578947367,0.0,25.36987894736842,3.5356684210526317,5.636473684210526,1.6144157894736841,0.0,0.20789473684210527,0
LiliannePloumen,Lilianne Ploumen,Unknown,Unknown,17,0.23529411764705882,0.058823529411764705,21.19194117647059,8.48040588235294,13.4535,3.1760058823529413,0.6002411764705883,0.3557422969187675,0
SelçukÖztürk,SelçukÖztürk,Unknown,Unknown,17,0.17647058823529413,0.0,39.615941176470585,2.252841176470588,2.9857294117647055,1.608376470588235,0.0,0.18487394957983194,0
TamaravanArk,Tamaravan Ark,Unknown,Unknown,17,0.11764705882352941,0.0,7.9515529411764705,0.8037352941176471,1.2607823529411766,0.3472882352941177,0.0,0.11764705882352941,0
AttjeKuiken,Attje Kuiken,Unknown,Unknown,16,0.1875,0.0,14.13088125,0.9744999999999999,10.146112500000001,1.319125,0.0,0.12351190476190475,0
MartinBosma,Martin Bosma,Unknown,Unknown,16,0.375,0.0,7.0733625,1.19880625,0.9172625,0.45775625,0.26595625,0.4017857142857143,0
CoravanNieuwenhuijzen-Wijbenga,Coravan Nieuwenhuijzen- Wijbenga,Unknown,Unknown,15,0.26666666666666666,0.0,10.52116,0.8122,2.19004,5.664033333333333,0.2008,0.08148148148148149,0
RikJanssen,Rik Janssen,Unknown,Unknown,15,0.13333333333333333,0.0,5.040306666666667,0.3696933333333334,1.2844799999999998,1.7322866666666668,0.9009,0.15,0
BrunoBruins,Bruno Bruins,Unknown,Unknown,14,0.0,0.0,11.87252142857143,4.011792857142857,0.4793857142857143,0.0,1.0486642857142858,0.2857142857142857,0
CorrievanBrenk,Corrievan Brenk,Unknown,Unknown,14,0.07142857142857142,0.0,38.852557142857144,0.09536428571428571,3.067078571428571,1.5429285714285714,0.8710785714285715,0.011904761904761904,0
DonCeder,Don Ceder,Unknown,Unknown,14,0.21428571428571427,0.0,21.559499999999996,17.335978571428573,3.6242642857142857,0.6435000000000001,0.0,1.7857142857142858,0
NiekJanvanKesteren,Niek Janvan Kesteren,Unknown,Unknown,14,0.21428571428571427,0.0,32.371764285714285,1.22865,8.0428,5.25305,0.0,0.26071428571428573,0
SadetKarabulut,Sadet Karabulut,Unknown,Unknown,14,0.5,0.0,35.752092857142856,13.737964285714286,3.2258,0.9843142857142857,0.0,1.1666666666666665,0
FarahKarimi,Farah Karimi,Unknown,Unknown,13,0.3076923076923077,0.0,33.33412307692308,4.009323076923077,2.302076923076923,6.920915384615385,0.0,0.6133510167992926,0
FerdGrapperhaus,Ferd Grapperhaus,Unknown,Unknown,13,0.38461538461538464,0.0,12.519715384615385,5.1211230769230776,0.0,0.24975384615384616,1.0989,0.9615384615384616,0
FrankFutselaar,Frank Futselaar,Unknown,Unknown,13,0.15384615384615385,0.0,34.30513076923077,0.4582307692307693,2.9312538461538464,6.948153846153845,0.0,0.03076923076923077,0
KeesVerhoeven,Kees Verhoeven,Unknown,Unknown,13,0.38461538461538464,0.0,10.35706923076923,5.483423076923076,0.6058384615384615,1.6510076923076924,0.0,1.0521978021978022,0
MaartenHijink,Maarten Hijink,Unknown,Unknown,13,0.23076923076923078,0.0,18.023115384615384,0.4594076923076923,0.5872615384615384,0.2564076923076923,0.0,0.17948717948717946,0
PaulvanMeenen,Paulvan Meenen,Unknown,Unknown,13,0.0,0.0,19.565923076923077,0.0,0.0,0.48995384615384613,0.0,0.0,0
TinyKox,Tiny Kox,Unknown,Unknown,13,0.23076923076923078,0.0,12.705276923076923,1.8200692307692306,6.902584615384615,0.5644307692307693,0.0,0.10256410256410256,0
HelmaLodders,Helma Lodders,Unknown,Unknown,12,0.25,0.0,17.045525,1.4185083333333335,3.0746333333333333,4.162941666666666,0.0,0.11805555555555554,0
HenkStaghouwer,Henk Staghouwer,Unknown,Unknown,12,0.25,0.0,32.046675,4.531933333333333,6.911233333333333,5.744283333333333,0.0,0.39814814814814814,0
HildePalland,Hilde Palland,Unknown,Unknown,12,0.08333333333333333,0.0,25.858716666666666,0.24366666666666667,6.205208333333332,0.0,0.0,0.08333333333333333,0
JacoGeurts,Jaco Geurts,Unknown,Unknown,12,0.08333333333333333,0.0,17.030533333333334,0.6150083333333333,1.4304249999999998,11.598149999999999,0.0,0.041666666666666664,0
